age,dailyrate,distancefromhome,education,environmentsatisfaction,hourlyrate,jobinvolvement,joblevel,jobsatisfaction,monthlyincome,numcompaniesworked,overtime,percentsalaryhike,performancerating,relationshipsatisfaction,stockoptionlevel,totalworkingyears,worklifebalance,yearsatcompany,attrition,synthetic
40,709,19,2,3,57,3,3,4,10715,8,0,11,3,3,2,28,3,10,0,1
40,985,4,4,4,72,3,3,4,11194,2,0,15,3,4,2,12,3,7,0,1
36,455,2,1,2,52,3,2,1,14123,2,1,19,3,1,2,14,1,23,0,1
28,572,29,2,1,52,1,1,1,2816,5,1,11,3,1,0,3,1,0,1,1
28,424,15,1,1,53,1,1,1,1008,7,1,12,3,1,0,4,1,0,1,1
36,226,6,4,3,93,2,2,3,6309,4,1,15,3,2,0,27,2,7,0,1
27,220,15,1,1,48,1,1,1,2169,4,1,13,3,1,0,1,1,1,1,1
41,912,1,2,3,92,1,3,1,2781,2,0,17,3,3,1,19,3,22,0,1
33,226,14,2,1,79,3,3,2,7558,5,1,23,3,1,0,19,1,14,0,1
37,743,2,2,2,67,2,4,4,14623,7,1,24,3,4,1,19,3,0,1,1
30,1097,17,4,1,66,2,4,1,10765,2,1,17,3,2,1,3,3,4,0,1
30,1236,27,2,4,59,2,2,4,12079,1,0,24,3,1,0,17,3,1,0,1
35,758,14,4,3,58,3,3,3,2370,8,0,15,3,3,0,23,2,24,0,1
28,289,22,2,1,45,1,1,1,1723,5,1,11,3,1,0,4,1,1,1,1
33,921,24,2,3,45,1,2,4,3291,8,0,16,3,3,2,8,3,10,0,1
22,399,23,2,1,51,1,1,1,2873,4,1,13,3,1,0,1,1,1,1,1
31,950,25,3,4,81,3,2,4,4097,0,0,24,3,2,0,26,1,6,1,1
27,208,20,1,1,36,1,1,1,1239,4,1,13,3,1,0,4,1,0,1,1
36,1354,4,3,4,78,3,4,4,5299,1,0,22,3,3,2,16,3,15,0,1
29,541,15,1,1,45,1,1,1,1341,5,1,12,3,1,0,4,1,0,1,1
45,455,28,2,4,31,2,3,2,10519,6,0,15,3,4,2,27,2,24,1,1
47,1186,1,3,3,64,3,4,3,10281,1,0,15,3,4,2,22,3,11,0,1
27,569,16,1,1,53,1,1,1,2613,4,1,13,3,1,0,3,1,1,1,1
22,817,29,4,2,39,3,4,2,9636,7,0,11,3,4,2,8,1,1,1,1
47,1240,3,3,4,83,3,4,4,10648,1,0,18,3,3,2,15,3,12,0,1
24,397,26,2,1,36,1,1,1,2391,4,1,11,3,1,0,1,1,1,1,1
31,1169,20,1,4,94,1,2,2,1436,2,0,15,3,1,1,7,1,20,0,1
40,1304,1,1,1,99,2,2,3,8903,8,1,16,3,1,0,11,3,15,1,1
37,625,14,3,2,93,1,3,1,5554,8,1,20,3,2,1,8,3,20,1,1
30,260,19,2,1,40,1,1,1,2664,8,1,12,3,1,0,1,1,1,1,1
28,515,28,1,1,46,1,1,1,1405,5,1,11,3,1,0,2,1,2,1,1
52,1034,2,4,1,40,2,1,3,7818,5,0,16,3,3,2,2,3,12,0,1
49,1315,2,3,4,79,3,3,3,9687,2,0,20,3,3,2,16,3,15,0,1
35,916,3,4,3,80,3,4,3,7852,1,0,16,3,4,2,21,3,13,0,1
35,635,8,2,4,30,2,1,3,6828,5,1,17,3,3,1,17,2,14,1,1
35,588,11,4,1,93,1,3,1,9053,3,0,13,3,4,1,1,1,11,0,1
31,675,25,2,3,47,1,4,2,12831,1,1,12,3,4,2,16,3,11,1,1
42,1098,19,1,4,99,2,4,1,7642,1,0,13,3,4,1,15,3,11,0,1
33,865,1,4,4,89,3,3,4,13437,2,0,15,3,3,1,17,3,6,0,1
48,878,1,4,3,63,3,3,4,8076,1,0,21,3,4,1,12,3,17,0,1
40,1324,2,4,4,84,3,4,4,12282,2,0,16,3,4,1,19,3,18,0,1
23,357,28,2,1,41,1,1,1,2007,8,1,11,3,1,0,2,1,2,1,1
54,429,3,3,4,90,3,3,4,3471,6,1,15,3,2,1,3,1,9,0,1
32,798,18,3,1,31,3,3,2,6626,2,1,21,3,3,2,27,2,24,1,1
40,1266,4,3,3,64,3,3,4,13045,2,0,18,3,4,2,20,3,7,0,1
23,838,11,2,2,61,2,2,2,14989,6,1,20,3,2,2,16,2,10,0,1
33,921,4,4,4,95,3,3,4,10539,2,0,23,3,3,2,19,3,17,0,1
29,383,18,1,1,54,1,1,1,2432,8,1,12,3,1,0,1,1,2,1,1
30,982,4,1,1,36,3,3,3,1676,2,0,16,3,3,2,24,1,9,0,1
31,306,21,1,1,32,1,1,1,2169,4,1,13,3,1,0,4,1,1,1,1
36,686,10,1,3,58,2,1,3,13438,1,0,14,3,4,0,27,3,20,0,1
22,790,25,1,2,36,3,4,3,2600,6,0,23,3,2,1,12,2,21,1,1
25,435,25,2,1,39,1,1,1,1563,8,1,11,3,1,0,2,1,2,1,1
22,534,8,1,2,74,1,4,1,6892,1,1,20,3,2,1,3,1,22,1,1
46,1150,3,3,4,97,3,2,4,8342,1,0,16,3,4,1,13,3,6,0,1
53,651,12,3,2,43,3,4,2,9530,8,0,24,3,1,2,11,3,12,0,1
30,445,18,1,1,37,1,1,1,2282,5,1,13,3,1,0,4,1,2,1,1
28,1365,14,3,3,44,3,4,4,8789,7,0,24,3,3,2,3,2,15,1,1
35,1282,3,3,3,70,3,4,4,6865,2,0,15,3,4,2,17,3,5,0,1
34,939,1,4,3,83,3,2,4,5991,1,0,19,3,4,2,22,3,16,0,1
24,220,25,2,1,50,1,1,1,2925,4,1,11,3,1,0,4,1,1,1,1
22,767,11,3,2,91,2,2,3,9339,4,1,20,3,3,1,23,2,22,1,1
46,829,4,4,3,91,3,2,4,10224,2,0,17,3,4,1,14,3,13,0,1
49,1098,4,3,4,78,3,4,3,14610,1,0,16,3,3,2,24,3,8,0,1
24,551,24,2,1,35,1,1,1,1085,4,1,11,3,1,0,3,1,2,1,1
44,1376,4,3,3,71,3,3,4,14449,2,0,18,3,3,1,18,3,10,0,1
