school,sex,age,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,dalc,walc,health,absences,g1,g2,pass,synthetic
0,0,18,1,3,1,0,0,0,0,0,1,1,3,4,3,3,1,20,7,6,0,1
0,1,15,4,0,0,1,1,1,1,1,0,4,3,2,1,1,4,3,16,13,1,1
1,0,19,1,2,1,0,0,0,0,0,1,1,3,3,4,4,2,25,5,6,0,1
1,0,18,2,0,0,0,0,0,0,1,1,2,3,3,2,2,2,7,9,11,1,1
0,1,20,1,3,1,0,0,0,0,0,1,1,4,3,4,4,2,13,4,4,0,1
0,0,17,2,1,1,1,1,1,1,1,0,3,2,3,2,1,3,11,12,12,1,1
1,1,16,2,1,1,1,0,0,0,0,0,2,2,2,1,2,2,10,10,10,0,1
0,0,18,2,0,1,0,1,0,1,0,0,3,3,3,1,2,2,9,12,10,1,1
0,0,16,2,0,0,0,1,0,0,0,1,2,2,3,1,1,2,5,8,11,0,1
1,0,18,2,0,0,0,0,0,1,0,1,2,2,2,2,2,3,11,12,11,1,1
1,1,16,3,0,0,1,1,1,1,1,0,3,3,1,1,1,3,0,12,13,1,1
0,1,16,2,0,0,0,1,1,0,0,1,2,2,2,2,2,3,8,8,11,0,1
1,1,18,4,0,0,0,1,1,1,1,0,3,2,1,1,1,3,0,14,13,1,1
1,1,21,3,3,0,0,0,1,1,1,1,1,4,2,4,2,4,22,6,9,0,1
0,0,21,1,3,1,0,0,0,0,0,1,2,4,4,4,3,1,25,3,3,0,1
1,1,20,1,2,1,0,0,0,0,1,1,2,3,4,3,4,1,28,6,6,0,1
1,1,21,4,3,0,0,1,0,1,1,0,2,3,3,2,2,3,6,14,12,1,1
1,0,17,2,0,1,1,1,0,0,1,0,2,2,2,1,1,3,5,11,8,1,1
0,1,18,4,3,1,1,0,1,1,1,1,1,3,1,1,2,4,13,4,4,1,1
0,0,19,1,2,1,0,0,0,0,1,1,1,4,3,4,4,2,17,5,3,0,1
1,1,18,1,2,1,0,0,0,0,1,1,1,4,4,4,4,2,22,5,5,0,1
0,1,16,1,3,1,0,0,0,0,0,1,2,3,3,4,3,2,28,6,5,0,1
1,0,17,2,0,1,0,1,0,1,0,0,3,2,2,2,1,2,5,11,8,1,1
0,1,16,1,3,1,0,0,0,0,0,1,2,4,3,4,3,2,12,4,4,0,1
1,1,17,1,2,1,0,0,0,0,1,1,1,3,3,4,4,1,19,4,5,0,1
1,0,19,1,3,1,0,0,0,0,0,1,1,4,3,4,3,2,23,6,5,0,1
1,1,17,1,3,1,0,0,0,0,0,1,1,4,3,3,4,1,26,6,4,0,1
1,0,16,2,0,1,0,1,1,1,0,0,3,3,2,2,2,3,5,11,12,1,1
1,0,16,2,1,0,0,1,1,0,1,0,3,2,3,1,1,2,7,8,9,1,1
1,1,16,4,0,0,1,0,1,1,1,0,4,2,1,1,1,3,4,16,18,1,1
0,1,17,2,1,0,0,1,0,0,1,1,2,2,2,2,2,3,6,12,11,1,1
1,0,17,4,0,0,0,1,1,1,1,0,4,2,1,1,1,4,1,17,17,1,1
1,0,16,4,2,1,1,0,1,1,1,0,1,4,4,4,4,3,1,3,14,1,1
1,1,17,2,0,1,0,0,0,0,0,0,3,2,2,1,2,3,4,12,10,1,1
0,1,16,2,1,1,1,1,1,0,0,0,3,3,2,2,1,2,10,11,8,0,1
1,1,19,3,3,1,0,0,0,1,1,1,4,2,1,3,4,4,22,16,7,1,1
0,0,16,1,2,1,0,0,0,0,0,1,2,3,3,4,4,2,22,5,5,0,1
1,0,16,1,2,1,0,0,0,0,1,1,1,3,4,4,3,2,29,5,4,0,1
0,0,18,2,1,0,1,0,0,1,0,0,3,2,2,1,1,3,9,9,12,0,1
0,0,16,3,3,0,1,1,1,1,1,0,1,2,3,2,1,4,9,11,4,0,1
0,0,16,2,1,0,1,1,0,0,1,1,2,2,2,1,1,3,6,11,10,0,1
0,0,17,1,3,1,0,0,0,0,0,1,1,4,3,3,3,2,29,6,7,0,1
0,0,18,2,0,1,1,0,0,1,0,0,3,2,3,1,2,3,7,12,10,1,1
0,0,18,3,0,0,1,0,1,1,1,0,3,2,2,1,1,3,0,16,18,1,1
1,0,16,2,0,1,1,1,1,1,1,1,3,3,2,2,2,3,6,9,9,1,1
1,0,16,2,1,1,0,1,0,0,0,0,2,3,2,2,2,2,5,12,9,0,1
0,0,17,2,1,1,1,1,0,0,0,0,3,2,3,1,2,3,3,10,12,1,1
